timestamp,dv.x,dv.y,dv.z,vx,vy,vz
0.0076,-0.0030,-0.1690
1403636579.8136,-0.0000,0.0000,-0.0000  -0.0042,-0.0112,-0.3157
1403636579.8636,-0.0366,-0.0058,-0.3643  0.0001,-0.0237,-0.4474
1403636579.9136,-0.0553,-0.0147,-0.5222  0.0064,-0.0350,-0.5292
1403636579.9636,-0.0202,-0.0435,-0.6041  0.0175,-0.0430,-0.5811
1403636580.0136,-0.0017,-0.0274,-0.6009  0.0298,-0.0167,-0.5836
1403636580.0636,0.0268,-0.0163,-0.5941  0.0457,-0.0202,-0.5681
1403636580.1136,0.0361,-0.0141,-0.5590  0.0537,-0.0132,-0.5386
1403636580.1636,-0.0000,0.0000,-0.0000  0.0590,-0.0108,-0.5068
1403636580.2136,0.0385,-0.0124,-0.5040  0.0558,-0.0177,-0.4662
1403636580.2636,0.0285,-0.0181,-0.4687  0.0787,-0.0165,-0.4313
1403636580.3136,0.0632,-0.0170,-0.4468  0.0782,-0.0276,-0.4138
1403636580.3636,-0.0000,0.0000,-0.0000  0.0751,-0.0251,-0.3681
1403636580.4136,0.0508,-0.0346,-0.3919  0.0688,-0.0322,-0.2921
1403636580.4636,0.0501,-0.0426,-0.3457  0.0579,-0.0335,-0.1665
1403636580.5136,0.0480,-0.0461,-0.2397  0.0521,-0.0272,0.0027
1403636580.5636,-0.0000,0.0000,-0.0000  0.0371,-0.0252,0.1860
1403636580.6136,0.0109,-0.0319,0.1050  0.0279,-0.0190,0.3388
1403636580.6636,0.0187,-0.0144,0.2730  0.0085,-0.0035,0.4634
1403636580.7136,-0.0423,-0.0170,0.4021  -0.0241,0.0159,0.5634
1403636580.7636,-0.0000,0.0000,-0.0000  -0.0170,0.0253,0.6302
1403636580.8136,-0.0558,0.0538,0.6112  -0.0110,0.0378,0.6718
1403636580.8636,-0.0149,0.0600,0.6480  0.0106,0.0171,0.6575
1403636580.9136,-0.0069,0.0279,0.6734  0.0269,-0.0026,0.6280
1403636580.9636,-0.0000,0.0000,-0.0000  0.0545,-0.0083,0.5685
1403636581.0136,0.0682,-0.0208,0.6149  0.0684,-0.0078,0.5170
1403636581.0636,0.0272,-0.0852,0.5294  0.0720,-0.0011,0.4601
1403636581.1136,0.0314,-0.0324,0.5100  0.0961,0.0077,0.3975
1403636581.1636,-0.0000,-0.0000,-0.0000  0.0939,0.0158,0.3418
1403636581.2136,-0.0025,-0.0086,0.5427  0.1132,0.0193,0.2734
1403636581.2636,0.0307,0.0103,0.4471  0.1221,0.0310,0.1604
1403636581.3136,0.0331,0.0656,0.4730  0.1078,0.0344,0.0009
1403636581.3636,-0.0000,-0.0000,-0.0000  0.0997,0.0420,-0.1777
1403636581.4136,0.0201,0.0228,0.0493  0.0797,0.0342,-0.3554
1403636581.4636,0.0155,0.0014,-0.1398  0.0642,0.0302,-0.4953
1403636581.5136,0.0006,0.0064,-0.2919  0.0359,0.0147,-0.6154
1403636581.5636,-0.0000,0.0000,-0.0000  0.0202,0.0130,-0.6649
1403636581.6136,-0.0446,-0.0264,-0.4556  0.0164,0.0273,-0.7066
1403636581.6636,-0.0396,-0.0059,-0.5465  0.0208,0.0214,-0.7165
1403636581.7136,-0.0137,0.0004,-0.5610  0.0353,0.0162,-0.7245
1403636581.7636,-0.0000,-0.0000,-0.0000  0.0647,-0.0042,-0.7380
1403636581.8136,0.0443,-0.0051,-0.6050  0.0621,0.0005,-0.7406
1403636581.8636,0.0398,-0.0094,-0.6162  0.0687,-0.0175,-0.7194
1403636581.9136,0.0473,-0.0286,-0.6121  0.0700,-0.0150,-0.6883
1403636581.9636,-0.0000,-0.0000,-0.0000  0.0657,-0.0128,-0.6392
1403636582.0136,0.0375,-0.0378,-0.5403  0.0603,-0.0289,-0.5599
1403636582.0636,0.0119,-0.0511,-0.5234  0.0619,-0.0311,-0.4578
1403636582.1136,0.0447,-0.0504,-0.4669  0.0571,-0.0314,-0.3207
1403636582.1636,-0.0000,0.0000,0.0000  0.0493,-0.0181,-0.1631
1403636582.2136,0.0804,-0.0386,-0.1948  0.0331,-0.0040,0.0118
1403636582.2636,0.0764,-0.0250,-0.0332  0.0225,-0.0059,0.2014
1403636582.3136,-0.0004,-0.0312,0.1720  0.0196,-0.0080,0.3574
1403636582.3636,-0.0000,0.0000,-0.0000  0.0059,0.0008,0.4540
1403636582.4136,-0.0830,-0.0344,0.4845  -0.0100,0.0108,0.5224
1403636582.4636,-0.0552,-0.0008,0.6008  -0.0189,0.0269,0.5689
1403636582.5136,-0.0818,0.0160,0.6278  -0.0198,0.0345,0.5832
1403636582.5636,-0.0000,0.0000,-0.0000  -0.0119,0.0496,0.5976
1403636582.6136,-0.0319,0.0499,0.6627  0.0056,0.0546,0.5884
1403636582.6636,-0.0117,0.0595,0.6875  -0.0050,0.0709,0.5852
1403636582.7136,-0.0085,0.0619,0.6907  -0.0118,0.0782,0.5810
1403636582.7636,-0.0000,-0.0000,-0.0000  -0.0199,0.0943,0.5861
1403636582.8136,-0.0448,0.0794,0.7350  -0.0002,0.0892,0.5718
1403636582.8636,-0.0237,0.0900,0.6981  0.0082,0.0819,0.5173
1403636582.9136,-0.0265,0.0797,0.6538  0.0211,0.0658,0.4267
1403636582.9636,-0.0000,0.0000,-0.0000  0.0233,0.0552,0.2872
1403636583.0136,-0.0302,0.0548,0.3710  0.0123,0.0473,0.1364
1403636583.0636,-0.0253,0.0478,0.2614  0.0026,0.0560,-0.0182
1403636583.1136,-0.0249,0.0488,0.1332  0.0064,0.0429,-0.1929
1403636583.1636,-0.0000,-0.0000,-0.0000  -0.0090,0.0180,-0.3329
1403636583.2136,-0.0101,0.0115,-0.1851  -0.0110,0.0247,-0.4538
1403636583.2636,0.0000,0.0030,-0.3292  -0.0215,0.0172,-0.5468
1403636583.3136,-0.0137,-0.0078,-0.4358  0.0019,0.0256,-0.6295
1403636583.3636,-0.0000,0.0000,-0.0000  0.0021,0.0275,-0.6845
1403636583.4136,0.0052,-0.0148,-0.6111  0.0198,0.0072,-0.7198
1403636583.4636,0.0293,-0.0066,-0.6749  0.0254,0.0245,-0.7472
1403636583.5136,0.0206,0.0008,-0.6978  0.0169,0.0132,-0.7481
1403636583.5636,0.0202,-0.0007,-0.6994  0.0205,0.0151,-0.7631
1403636583.6136,0.0085,-0.0018,-0.7208  0.0380,-0.0258,-0.7420
1403636583.6636,-0.0000,0.0000,-0.0000  0.0444,-0.0181,-0.6920
1403636583.7136,0.0562,-0.0444,-0.6568  0.0480,-0.0170,-0.6371
1403636583.7636,0.0526,-0.0384,-0.5970  0.0517,-0.0150,-0.5677
1403636583.8136,0.0499,-0.0343,-0.5315  0.0546,-0.0147,-0.5122
1403636583.8636,-0.0000,-0.0000,-0.0000  0.0534,-0.0156,-0.4259
1403636583.9136,0.0531,-0.0213,-0.4358  0.0581,-0.0237,-0.3291
1403636583.9636,0.0498,-0.0149,-0.3508  0.0492,-0.0326,-0.2064
1403636584.0136,0.0690,-0.0251,-0.2375  0.0326,-0.0274,-0.0817
1403636584.0636,-0.0000,0.0000,-0.0000  -0.0037,-0.0123,0.0678
1403636584.1136,0.0007,-0.0235,0.0424  -0.0230,0.0005,0.2201
1403636584.1636,-0.0162,-0.0026,0.1873  -0.0419,0.0055,0.3373
1403636584.2136,-0.0739,0.0039,0.3053  -0.0433,0.0101,0.4536
1403636584.2636,-0.0000,-0.0000,-0.0000  -0.0473,0.0140,0.5216
1403636584.3136,-0.0269,0.0163,0.5728  -0.0651,0.0405,0.6066
1403636584.3636,-0.0461,0.0322,0.6301  -0.0651,0.0474,0.6518
1403636584.4136,-0.0722,0.0499,0.6777  -0.0804,0.0496,0.6785
1403636584.4636,-0.0000,0.0000,0.0000  -0.0738,0.0338,0.7090
1403636584.5136,-0.0915,0.0414,0.7459  -0.0740,0.0397,0.7143
1403636584.5636,-0.0929,0.0275,0.7637  -0.0655,0.0328,0.7133
1403636584.6136,-0.0964,0.0278,0.7778  -0.0456,0.0297,0.6877
1403636584.6636,-0.0000,0.0000,0.0000  -0.0208,0.0214,0.6334
1403636584.7136,-0.0581,0.0208,0.7064  -0.0076,0.0205,0.5784
1403636584.7636,-0.0377,0.0146,0.6502  0.0187,0.0083,0.5104
1403636584.8136,0.0027,0.0073,0.6052  0.0336,0.0037,0.4089
1403636584.8636,-0.0000,0.0000,-0.0000  0.0373,-0.0024,0.2800
1403636584.9136,0.0321,-0.0031,0.4066  0.0189,0.0152,0.1248
1403636584.9636,0.0072,-0.0030,0.2420  -0.0026,0.0171,-0.0324
